Run_id;weight_decay;Original_Accuracy;Pruned_threshold;Retrain Accuracy;weight_percentage_pruned;filter_compression_rate;weight_compression_rate
lr_0.0007701_momentum_0.5762_weight_decay_0.05;0.05;80.04;89;82.45;95.15;9.07x  ( 88.98% pruned);20.60x ( 95.15% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.05;0.05;81.86;89;83.76;95.69;9.07x(88.98% pruned);23.22x(95.69% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.05;0.05;78.12;89;81.28;95.2;9.07x  ( 88.98% pruned);20.82x ( 95.20% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.03;0.03;90.66;77.6;91.68;84.52;4.47x(77.61% pruned);6.46x(84.52% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.03;0.03;92.0;77.6;92.65;82.13;4.47x(77.61% pruned);5.6x(82.13% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.03;0.03;90.37;77.6;91.26;88.48;4.47x(77.61% pruned);8.68x(88.48% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.019787;0.019787;93.35;73.7;93.21;83.43;3.81x(73.77% pruned);6.03x(83.43% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.019787;0.019787;92.22;73.7;92.6;83.82;3.81x(73.77% pruned);6.18x(83.82% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.019787;0.019787;93.43.22;73.7;93.2;79.5;3.77x(73.47% pruned);4.88x(79.50% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.02;0.02;93.61;71.5;93.65;77.57;3.51x(71.51% pruned);4.46x(77.57% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.02;0.02;93.44;71.5;94.06;77.4;3.51x(71.51% pruned);4.42x(77.4% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.02;0.02;93.17;71.5;93.64;79.18;3.51x(71.51% pruned);4.8x(79.18% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.01;0.01;94.25;55.5;94.39;63.45;2.25x(55.51% pruned);2.74x(63.45% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.01;0.01;94.33;55.5;94.65;64.74;2.25x(55.51% pruned);2.84x(64.74% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.01;0.01;94.13;55.5;94.66;67.07;2.25x(55.51% pruned);3.04x(67.07% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.005;0.005;94.75;37.5;95.11;47.24;1.6x(37.5% pruned);1.9x(47.24% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.005;0.005;94.98;37.5;95.1;42.59;1.6x(37.5% pruned);1.74x(42.59% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.005;0.005;95.21;37.5;95.38;45.71;1.6x(37.5% pruned);1.84x(45.71% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.001;0.001;94.7;5.0;95.24;6.93;1.05x(5.02% pruned);1.07x(6.93% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.001;0.001;94.73;5.0;94.95;6.89;1.05x(5.02% pruned);1.07x(6.89% pruned)
lr_0.0007701_momentum_0.5762_weight_decay_0.001;0.001;94.5;5.0;94.94;6.93;1.05x(5.02% pruned);1.07x(6.93% pruned)
